1GYFK362X9R279085,Isuzu,Rodeo,1992
WBALW7C57CD359268,Mitsubishi,Diamante,1994
JH4CU2F4XCC083669,Hyundai,Elantra,2000
WAUDGAFL6BA654919,Lincoln,LS,2005
3N1AB7AP3FL078967,Ford,Explorer Sport Trac,2008
WBAUT9C52AA422333,Rolls-Royce,Ghost,2012
WBA3B1C50DF283391,Ford,Bronco,1986
WBA3V7C52EJ681999,Chevrolet,Impala,2006
WBA3C1C51CA556248,Acura,TL,2007
WBA3A9C51DF280694,Ferrari,612 Scaglietti,2007
1N6AD0CU0DN997613,Volkswagen,Jetta,1999
WAUVFAFR6DA050205,Hyundai,Tucson,2012
1VWAH7A35DC581074,Land Rover,Range Rover,2002
5J8TB3H35DL500314,Chevrolet,Caprice,1996
WBABW33435P198673,Mercedes-Benz,SLK-Class,2004
1G6EL12Y61B831646,Ford,Explorer Sport Trac,2009
3N6CM0KN0EK474053,GMC,Savana 2500,1999
WP0AA2A95BS506683,Chevrolet,Avalanche,2011
1G6DW67V580102235,Honda,Accord,1993
WBAUN7C52DV922911,Nissan,Pathfinder Armada,2004
